ccode,countrycode,country,year,spell,duration,regime_change,regime_change_year,prevrc,democratization,aa_transition,party,military,personal,monarchy,currency_duration,banking,default,twin,ers_onset,d_ers,mi_onset,d_mi,kaopen_onset,d_kaopen,ers_mi_onset,d_ers_mi,mi_kaopen_onset,d_mi_kaopen,ers_kaopen_onset,d_ers_kaopen,gdppc_onset,d_gdppc_max,d_gdppc_total,d_gdppc_avg,ln_gdppc_onset,d_ln_gdppc_max,d_ln_gdppc_total,d_ln_gdppc_avg,gdppcgr_onset,gdppcgr_max,gdppcgr_total,gdppcgr_avg,oil_gas_value_pc,oil_gas_value_pc_avg,oilgas,oilgas_avg,oilrents,oilrents_avg,resources,resources_avg,vdem_index,polity2,polity2_avg,fedrate,d_fedrate,europe,latam,mideast,africa,eastasia,southasia,cgv_civilian,gwf_civilian,civil_war,1960s,1970s,1980s,1990s,2000s,cold_war,low_income,lower_middle_income,upper_middle_income,high_income
615,DZA,Algeria,1988-1991,30,26,1,1992,0,0,1,1,1,0,0,4,1,1,1,0.390913546085358,-0.306952372193336,0.5,0.00147747993469238,0,0.164809226989746,0.420372358775582,-0.11752794404477,0.695411102358895,-0.0580252129488723,0.79784648273377,-0.119215628391171,9717,-1280,-2025,-506.25,9.18163220783944,-0.141250133673811,-0.233696101130768,-0.058424025282692,-3.31528529779259,-4.66098044283622,-11.4235236709882,-2.85588091774704,1105.7078601999,848.724059467475,11.3791073397129,10.3155808805137,8.98772143638755,12.782358039113,9.79196633199536,13.9291312950066,0.22,-9,-7.05,6.6575,-0.99,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0
615,DZA,Algeria,1994-1995,18,2,0,,1,0,0,0,1,0,0,2,1,1,1,0.431924492120743,-0.335143081843853,0.646335303783417,0.0801011919975281,0.164809226989746,0,0.333953379955747,-0.183021630357904,0.73787026735077,0.0550032578747842,0.697162953378954,0.17390991565494,7171,-205,-92,-46,8.87780039388258,-0.0290039429566278,-0.0129124601083852,-0.0064562300541926,-4.48768087602659,-3.05046575903368,-1.27662983885629,-0.638314919428147,543.7056350367,537.60859368985,7.58200578771022,7.64714209825858,12.1973153233617,13.6203536233987,13.6757702629286,15.1384311558685,0.171,-7,-5.78947368421053,3.0225,-2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
540,AGO,Angola,1991-2005,35,16,0,,0,0,0,1,0,0,0,15,0,1,1,1,-0.985930096358061,,,,,,,,,,,2400,-645,964,64.2666666666667,7.78322401633604,-0.312999880436071,0.337662004756801,0.0225108003171201,1.71683913452493,-26.2968669748331,24.7656335182071,1.65104223454714,707.892166271,759.420344443747,29.4955069279583,35.5072944529354,27.8912256986462,33.3515500327794,28.9066226046574,35.099700171639,0.076,-7,-4.70454545454545,8.09916666666667,4.04,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0
540,AGO,Angola,2009-2010,35,34,0,,0,0,0,1,0,0,0,2,0,0,0,0.943633794784546,-0.658376544713974,0.710777699947357,-0.210164248943329,0,0,0.483252282940755,-0.212302837410045,0.840146279143977,-0.144313937064091,0.511033067689628,0.341639781822335,6318,-1106,90,45,8.75115798136203,-0.192439043117295,0.014144507386165,0.00707225369308251,10.6371113899345,-0.453629032258065,0.0527000816659861,0.0263500408329931,4484.3300897108,2965.4095015591,70.977051119196,50.9970605445794,56.1386991618025,34.8643277916118,56.6085597074164,35.3747405185886,0.195,-2,2.02222222222222,0.1675,1.76,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
160,ARG,Argentina,1962,8,4,0,,0,0,0,0,1,0,0,1,0,1,1,0.820268988609314,-0.725334026,,,,,,,,,,,9455,-258,-258,-258,9.15429898109256,-0.02766635818986,-0.02766635818986,-0.02766635818986,5.44802867383513,-3.15625910459357,-3.15625910459357,-3.15625910459357,75.049626289,88.0353601478,0.793755962866208,0.957218224940742,,,,,0.475,-1,0.333333333333333,1.955,-0.75,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
160,ARG,Argentina,1964-1965,8,6,1,1966,0,0,1,0,1,0,0,2,0,1,1,0.188114359974861,0.137932077,,,,,,,,,,,8877,773,1581,790.5,9.09121894106832,0.0767889389069794,0.163903573679756,0.0819517868398778,-3.90092258323305,7.50312229801134,16.1225525390632,8.0612762695316,88.3301481591,88.24945540945,0.995045039530247,0.877115914829369,,,,,0.295,-1,0.590909090909091,3.17833333333333,-0.61,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
160,ARG,Argentina,1967,7,1,0,,1,0,0,0,1,0,0,1,0,0,0,0.201907992362976,0.798092008,,,,,,,,,,,10422,176,176,176,9.25167423546916,0.0167463475835472,0.0167463475835472,0.0167463475835472,-0.786416443252904,1.24301927580616,1.24301927580616,1.24301927580616,91.386825323,94.4270560102,0.876864568441758,0.89098939432157,,,,,0.299,-9,0.130434782608696,5.11166666666667,0.89,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
160,ARG,Argentina,1969-1971,7,3,0,,1,0,0,0,1,0,0,3,0,0,0,1,-0.739193677902222,,,0.594610869884491,-0.412804604,,,,,0.19530997330831,0.58245942726094,10943,440,1756,585.333333333333,9.30045526141844,0.0352628890940387,0.14882326777059,0.04960775592353,2.79359430604982,3.12646187431779,13.8728875213154,4.62429584043847,97.7014911841,108.4363021886,0.892821814713516,0.883866673056012,,0.33058191759482,,0.461919087092157,0.105,-9,-0.565217391304348,6.68333333333333,1.02,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
160,ARG,Argentina,1977-1983,7,1,1,1983,1,1,0,0,1,0,0,7,1,1,1,0.0404814369976521,0.56460477039218,0.400295197963715,0.228765070438385,0,0.412804574,0.423357561598993,-0.160845215095802,0.481608410171348,0.19544928116644,0.979690064880636,-0.491863056229225,13746,-990,-567,-81,9.52850315168155,-0.0710689333649306,-0.042123219037661,-0.00601760271966586,-1.94140734510793,-7.30539753017899,-6.70094780861644,-0.957278258373778,369.2797748868,627.750172810014,2.68645260357049,4.56799124409433,2.43570422346332,3.73292780279162,2.7057955105891,4.06936058419897,0.14,-9,-2.08333333333333,5.045,-5.78,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
373,AZE,Azerbaijan,1994,17,1,0,,1,0,0,0,0,1,0,1,0,0,0,,,0.497223943471909,-0.145725608,,,,,,,,,5163,-1149,-1149,-1149,8.54927308487965,-0.251729555523365,-0.251729555523365,-0.251729555523365,-24.2832319721981,-20.8261617900172,-20.8261617900172,-20.8261617900172,405.4651670672,335.6616624075,7.85328621086965,8.36227360257848,12.5657318113343,12.6626822661354,15.0789293096869,15.021175388545,0.418,-3,5.8695652173913,3.0225,-1.18,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0
771,BGD,Bangladesh,1976,7,1,0,,1,0,0,0,0,1,0,1,0,0,0,0.0685711055994034,0.105837524,0.44216775894165,0.057832241,,,0.338337499953449,-0.000135693306677676,,,,,1004,107,107,107,6.91174730025167,0.101268489387956,0.101268489387956,0.101268489387956,-3.25991189427313,2.18579234972678,2.18579234972678,2.18579234972678,0.9065504502,1.5960882944,0.0902938695418327,0.143662312727273,0.00260387604371732,0.00557301010838918,0.564079253983116,0.706313108272935,0.217,-7,-1.42857142857143,5.045,0.78,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0
